SampleID,Chronological age,Predicted age(LR),Predicted age(RF),Predicted age(MLP)
1538,59,72.79171061077017,70.62,73.94523
1264,60,56.69385173597719,59.88,55.18452
2430,66,74.819735789444,75.36,69.66813
498,80,69.87345235325444,74.28,86.34648
259,55,53.26610476411381,46.99,53.238956
2523,57,51.7913308824003,43.231478443145754,50.759262
2179,14,13.66145250659574,11.798166656494141,12.873511
1435,53,44.34198087399436,43.87,61.113724
1411,58,47.531730029956606,53.76,54.214115
1193,45,40.52431849352957,46.15,45.48834
168,47,48.807053005387516,43.84642026901245,45.849747
1192,60,55.357849221976146,56.18,53.44354
2555,32,34.51803263980588,33.05,34.07231
1800,16,13.962958880053165,12.85,14.776785
1934,12,4.608664050223986,7.958666702508927,10.60815
1639,56,52.2464020199632,54.67,51.261868
680,0,-8.357572374953655,0.0,0.011134788
2415,30,42.626525979473634,32.87,34.843277
729,9.5,10.058367334784378,9.571833342313766,8.44892
1771,44,40.09097308579182,41.123333339691165,42.12634
2190,12,12.985891869844046,11.405500011444092,11.708407
2458,61,58.47565696346745,62.71,64.86831
1505,71,69.76299033615913,71.01,74.342094
782,0.265753425,-8.977822363254027,0.2472054785490036,0.3559435
111,59,52.54765924315221,57.6,49.2926
889,18.0807665982204,26.607543629915522,18.40036949157715,16.726208
2014,12,11.502715580601365,13.140166673660278,14.968457
2488,37,34.724275296263876,34.06,34.290215
1057,18.5598904859685,25.70696080319982,18.510253257751465,17.527035
1977,18,18.66688296651159,17.19,15.8989935
1514,58,60.95204145600501,59.07,61.05013
2508,32,35.63490521174058,31.79,28.958744
841,0.216438356,-9.27813525075846,0.2597260269522667,0.33037907
789,0.235616438,-5.997706505517307,0.24408219054341315,0.33278066
2167,12,22.4006777212158,13.001000003814697,12.86186
1405,49,39.81211917396495,30.22,33.663605
1697,19,23.65227142479224,16.780833339691164,15.129407
2413,30,35.52110092775772,32.08,29.93679
435,66,67.07626511451795,68.58,75.68156
2043,14,19.64829124334571,15.267500019073486,14.950967
2171,44,45.148650831789354,40.89607802391052,44.733025
2276,66,68.88118518482182,67.05,63.507343
879,0.273972603,-0.053789647747755964,0.242027395516634,0.33898193
212,81,69.96336401645125,79.39,73.88319
1621,52,57.03156956462293,58.12,57.48495
1091,4.083333333333333,8.115345952528976,5.98316667675972,2.6067073
700,9.1,14.896908303288072,8.54100004196167,6.613312
2121,24,30.72498607905095,17.4,16.437672
998,18.5051334702259,18.83005445526508,18.547542781829833,17.4782
2315,60,49.13052781210463,62.15,58.69663
1562,47,52.82129841188558,52.43,52.039303
999,18.4284736481862,22.537049393493312,18.476618785858154,17.79974
436,69,66.38103465094429,72.69,76.01113
1032,18.1683778234086,14.36703515020102,18.53949342727661,16.950037
2111,14,17.5813247349976,12.210999999046326,11.904453
218,68,57.263008908045755,60.48,60.82174
554,51,48.9216323195638,55.28,52.686268
907,18,21.021451242338067,18.354989833831787,18.52758
1241,68,74.98207263008365,76.81,67.560356
1242,60,66.96910780262073,66.09,58.853363
2553,69,57.10759579606642,61.92707735061646,57.954384
2372,35,35.676712118276754,33.2,33.427254
2262,71,75.62349143143285,69.73,67.25996
2269,67,63.79584706010586,65.33,67.73474
2052,16,20.468526174514704,15.71,13.398425
969,18.5188227241615,30.051331710607066,18.33174533843994,16.35539
2258,70,64.30675195419309,66.88,74.50095
801,0.24109589,-2.467415304238365,0.23745205342769624,0.40130478
1017,18.8473648186174,14.512454350926184,18.66652961730957,18.539131
1098,2.0,-0.1959382703372441,3.030000022649765,3.685756
1474,51,45.84881337931126,52.28,46.769085
756,0.221917808,-3.414257802601213,0.23380821734666823,0.3574875
422,50,62.60024241617641,61.99,69.11703
1801,12,14.940476324912872,11.93300000667572,13.80707
727,10.5,16.5000921738703,9.494000101089478,7.7043753
2333,31,31.857358381088886,32.53,33.42003
321,64,70.97362858619337,71.8,65.32902
254,48,56.688488500621055,51.31,58.484966
2063,12,11.284826428357839,12.3,12.621913
2348,65,58.31595358171647,64.01,62.161213
564,36,51.63923738229806,44.4,45.935917
51,67,76.33226565619185,79.09,71.96334
1670,12,14.979374494301979,12.187999987602234,11.918619
1025,18.3956194387406,9.218905191501701,18.653141574859617,16.63399
567,21,33.616926291763136,18.24083333969116,20.785492
